Abbreviation/Acronym,Definition
A/A,air-to-air
AAM,air-to-air missile
ADS-B,automatic dependent surveillance-broadcast
AFTTP,"Air Force tactics, techniques, and procedures"
AIM,air intercept missile
AIR-MAR,maritime air
ALSSA,Air Land Sea Space Application Center
AM,amplitude modulation
APP,Allied procedural publication
A/S,air-to-surface
ATP,Army techniques publication
BRAA,"bearing, range, altitude, and aspect"
BVR,beyond visual range
C2,command and control
CAS,close air support
CDE,collateral damage estimation
DWE,desired weapons effects
DZ,drop zone
EA,electromagnetic attack
EO,electro-optical
EOB,electromagnetic order of battle
EW,electromagnetic warfare
FAC(A),forward air controller (airborne)
FM,frequency modulation
FOV,field of view
ft,feet
HEL,high-energy laser
IAW,in accordance with
ID,identification
IFF,"identification, friend or foe"
IR,infrared
JREAP,joint range extension application protocol
JTAC,joint terminal attack controller
LZ,landing zone
MANPADS,man-portable air defense system
MAR,maritime-to-maritime
MCRP,Marine Corps reference publication
MILSTRAP,military standard transaction reporting and accounting procedure
MILSTRIP,military standard requisitioning and issue procedure
MSL,mean sea level
MTTP,"multi-Service tactics, techniques, and procedures"
NATO,North Atlantic Treaty Organization
NM,nautical mile
NPG,network participation group
NTTP,"Navy tactics, techniques, and procedures"
NWDC,Navy Warfare Development Center
PID,positive identification
ROE,rules of engagement
ROVER,remotely operated video enhanced receiver
ROZ,restricted operations zone
S/A,surface-to-air
SAM,surface-to-air missile
SAR,synthetic aperture radar
SATURN,second generation anti-jam tactical ultrahigh frequency radio for North Atlantic Treaty Organization
SEAD,suppression of enemy air defenses
SID,status information discrete
SO,space operations
SPINS,special instructions
S/S,surface-to-surface
STTP,"Space tactics, techniques, and procedures"
TC,tactical chat
TECOM,Training and Education Command (USMC)
TOI,track of interest
UHF,ultrahigh frequency
US,United States
USAF,United States Air Force
USMC,United States Marine Corps